ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300059.SZ,20201030,24.28,24.45,23.31,23.38,24.37,-0.99,-4.0624,2216718.41,5288414.559
300059.SZ,20201029,24.1,24.63,24,24.37,24.34,0.03,0.1233,1873138.44,4556241.07
300059.SZ,20201028,24.26,24.53,24.03,24.34,24.33,0.01,0.0411,1650809.97,4011895.385
300059.SZ,20201027,24.15,24.46,24.11,24.33,24.33,0,0,1304906.78,3169121.68
300059.SZ,20201026,25.12,25.14,23.9,24.33,25.19,-0.86,-3.4141,2483321.07,6063700.399
300059.SZ,20201023,26.12,26.23,25.19,25.19,26.09,-0.9,-3.4496,1608701.51,4140546.838
300059.SZ,20201022,26.1,26.48,25.65,26.09,26.35,-0.26,-0.9867,1934488.36,5037179.137
300059.SZ,20201021,26.79,26.8,26.13,26.35,26.75,-0.4,-1.4953,1802025,4754483.303
300059.SZ,20201020,25.99,26.87,25.97,26.75,25.97,0.78,3.0035,2649678.43,7021514.214
300059.SZ,20201019,26.98,27,25.95,25.97,25.98,-0.01,-0.0385,2662700.21,7045047.518
300059.SZ,20201016,25.66,26.12,25.66,25.98,25.72,0.26,1.0109,1578491.15,4093014.633
300059.SZ,20201015,25.91,26.39,25.7,25.72,25.89,-0.17,-0.6566,1643184.94,4268653.101
300059.SZ,20201014,25.98,26.08,25.65,25.89,26.12,-0.23,-0.8806,1556796.61,4021794.281
300059.SZ,20201013,25.7,26.2,25.62,26.12,26.09,0.03,0.115,2343422.18,6074662.079
300059.SZ,20201012,24.86,26.2,24.72,26.09,24.62,1.47,5.9708,3626167.89,9324717.777
300059.SZ,20201009,24.49,24.89,24.38,24.62,23.99,0.63,2.6261,1850056.86,4556747.263
300059.SZ,20200930,24.36,24.46,23.84,23.99,24.21,-0.22,-0.9087,1332425.95,3220832.073
300059.SZ,20200929,24.05,24.48,24.01,24.21,23.87,0.34,1.4244,1663211.6,4036961.719
300059.SZ,20200928,23.87,24.07,23.72,23.87,24.02,-0.15,-0.6245,1154116.76,2759713.191
300059.SZ,20200925,23.87,24.29,23.77,24.02,23.75,0.27,1.1368,1673755.26,4022372.003
300059.SZ,20200924,24.01,24.38,23.7,23.75,24.13,-0.38,-1.5748,1711937.34,4115023.319
300059.SZ,20200923,24.32,24.46,23.96,24.13,24.31,-0.18,-0.7404,1596154.63,3861011.904
300059.SZ,20200922,24.21,25.14,24.14,24.31,24.45,-0.14,-0.5726,2486340.66,6105122.974
300059.SZ,20200921,25.5,25.65,24.44,24.45,25,-0.55,-2.2,3280106.43,8163031.026
300059.SZ,20200918,23.48,25.5,23.29,25,23.47,1.53,6.519,4984635.22,12163429.17
300059.SZ,20200917,23.15,23.78,22.82,23.47,23.32,0.15,0.6432,2162309.93,5023442.589
300059.SZ,20200916,23.6,23.84,23.14,23.32,23.71,-0.39,-1.6449,1807952.85,4246935.48
300059.SZ,20200915,23.61,23.78,23.35,23.71,23.61,0.1,0.4235,1610937.23,3803286.775
300059.SZ,20200914,23.64,23.84,23.3,23.61,23.46,0.15,0.6394,1748301.08,4120776.484
300059.SZ,20200911,23.1,23.56,23,23.46,23.2,0.26,1.1207,1972560.53,4609583.38
300059.SZ,20200910,24.21,24.46,23.11,23.2,23.96,-0.76,-3.172,2680155.06,6412331.886
300059.SZ,20200909,24.7,24.9,23.81,23.96,25.01,-1.05,-4.1983,2945450.55,7171461.032
300059.SZ,20200908,24.76,25.3,24.26,25.01,24.6,0.41,1.6667,2983929.04,7399300.033
300059.SZ,20200907,25.75,25.92,24.41,24.6,25.91,-1.31,-5.056,3917030.19,9849899.634
300059.SZ,20200904,25.61,26.07,25.51,25.91,26.33,-0.42,-1.5951,2148254.32,5553634.544
300059.SZ,20200903,26.8,27.19,26.14,26.33,26.84,-0.51,-1.9001,3643950.51,9704599.615
300059.SZ,20200902,26.3,27.06,26.05,26.84,26.29,0.55,2.0921,4272347.58,11373398.26
300059.SZ,20200901,26.15,26.38,25.73,26.29,26.16,0.13,0.4969,2221475.95,5788380.136
300059.SZ,20200831,26.59,27.18,26.12,26.16,26.33,-0.17,-0.6457,4010512.82,10703604.36
300059.SZ,20200828,25.26,26.63,25.01,26.33,25.52,0.81,3.174,3936775.02,10165895.4
300059.SZ,20200827,25.27,25.77,25.14,25.52,25.28,0.24,0.9494,2189206.08,5571318.004
300059.SZ,20200826,26.2,26.35,25.15,25.28,26.45,-1.17,-4.4234,3802412.44,9750130.067
300059.SZ,20200825,25.88,27.5,25.88,26.45,25.93,0.52,2.0054,4593401.46,12230663.38
300059.SZ,20200824,26.5,26.59,25.14,25.93,26.15,-0.22,-0.8413,3346691.98,8649847.093
300059.SZ,20200821,25.55,26.2,25.47,26.15,25.18,0.97,3.8523,3279599.25,8474122.932
300059.SZ,20200820,25,25.65,24.9,25.18,25.16,0.02,0.0795,2348480.07,5930465.568
300059.SZ,20200819,26.1,26.33,25.02,25.16,26.19,-1.03,-3.9328,3080310.45,7947075.502
300059.SZ,20200818,26,26.63,25.93,26.19,26.18,0.01,0.0382,2539946.98,6662839.161
300059.SZ,20200817,25.89,26.83,25.4,26.18,25.33,0.85,3.3557,4483350.01,11714405.97
300059.SZ,20200814,24.8,25.46,24.75,25.33,24.91,0.42,1.6861,2130912.02,5367717.641
300059.SZ,20200813,25,25.5,24.77,24.91,24.68,0.23,0.9319,2690759.13,6755093.494
300059.SZ,20200812,25.19,25.53,24,24.68,25.19,-0.51,-2.0246,3922414.76,9695908.196
300059.SZ,20200811,26.5,26.89,25.05,25.19,26.5,-1.31,-4.9434,3888313.45,10098744.29
300059.SZ,20200810,26.21,27.36,25.88,26.5,26.93,-0.43,-1.5967,3703227.6,9810958.175
300059.SZ,20200807,27.5,28.2,26.38,26.93,28.67,-1.74,-6.0691,4705860.61,12807799.47
300059.SZ,20200806,27.79,29.33,27.09,28.67,27.67,1,3.614,4265313.56,11893101.41
300059.SZ,20200805,27,28.27,26.8,27.67,27.21,0.46,1.6906,3440294.12,9526855.648
300059.SZ,20200804,27.68,27.86,27.05,27.21,27.74,-0.53,-1.9106,3179228.26,8716189.424
300059.SZ,20200803,27.18,27.86,26.56,27.74,26.67,1.07,4.012,4239866.09,11547596.57
300059.SZ,20200731,26.26,27.36,26.18,26.67,26.11,0.56,2.1448,3909435.39,10465958.62
300059.SZ,20200730,26.68,26.68,26.01,26.11,26.7,-0.59,-2.2097,3131478.76,8227913.472
300059.SZ,20200729,24.69,26.75,24.55,26.7,24.89,1.81,7.272,4814257.02,12477063.95
300059.SZ,20200728,25.59,25.61,24.51,24.89,24.84,0.05,0.2013,3284567.07,8231889.093
300059.SZ,20200727,25.05,25.51,24.36,24.84,25.01,-0.17,-0.6797,3804886.69,9481760.746
300059.SZ,20200724,27.09,27.18,24.97,25.01,27.53,-2.52,-9.1537,6027184.77,15635154.92
300059.SZ,20200723,26.4,27.55,26.1,27.53,26.69,0.84,3.1472,4946597.74,13302149.91
300059.SZ,20200722,25.88,27.85,25.88,26.69,25.86,0.83,3.2096,4768179.25,12831047.11
300059.SZ,20200721,25.8,26.55,25.53,25.86,25.8,0.06,0.2326,3337409.88,8697677.603
300059.SZ,20200720,25.5,26.28,24.8,25.8,24.64,1.16,4.7078,4955148,12651399.11
300059.SZ,20200717,25.66,26.05,23.7,24.64,25.28,-0.64,-2.5316,5998573.17,14947851.23
300059.SZ,20200716,27.55,28.78,25.22,25.28,28.02,-2.74,-9.7787,6353932.01,17044104.49
300059.SZ,20200715,28.98,29.63,27.66,28.02,28.99,-0.97,-3.346,5116369.12,14551602.11
300059.SZ,20200714,26.69,29.18,26.2,28.99,26.92,2.07,7.6895,6098026.03,16984052.44
300059.SZ,20200713,25.25,28.11,24.99,26.92,25.63,1.29,5.0332,5584334.1,14777072.38
300059.SZ,20200710,26.15,26.6,25.58,25.63,27.16,-1.53,-5.6333,5372058.15,13990883.48
300059.SZ,20200709,25.74,28.18,25.1,27.16,25.94,1.22,4.7032,6458101.98,17334089.29
300059.SZ,20200708,23.95,25.94,23.92,25.94,23.58,2.36,10.0085,5406810.66,13399869.49
300059.SZ,20200707,24.94,24.98,23.41,23.58,24.8,-1.22,-4.9194,6186423.43,14890057.07
300059.SZ,20200706,23.1,24.95,22.92,24.8,22.8,2,8.7719,7065356.36,16949377.39
300059.SZ,20200703,21.92,23.45,21.63,22.8,21.9,0.9,4.1096,6477531.38,14590841.98
300059.SZ,20200702,20.28,22.17,19.97,21.9,20.24,1.66,8.2016,5558449.4,11632698.27
300059.SZ,20200701,20,20.35,19.68,20.24,20.2,0.04,0.198,3777695.96,7562582.714
300059.SZ,20200630,18.71,20.35,18.66,20.2,18.5,1.7,9.1892,5034168.36,9816845.701
300059.SZ,20200629,18.91,19.1,18.43,18.5,19.18,-0.68,-3.5454,4070771.83,7619175.328
300059.SZ,20200624,19.72,19.77,18.91,19.18,19.61,-0.43,-2.1928,3972449.98,7632609.653
300059.SZ,20200623,18.86,19.61,18.75,19.61,18.94,0.67,3.5375,4105509.68,7868718.305
300059.SZ,20200622,18.31,19.54,18.2,18.94,18.15,0.79,4.3526,5150884.65,9726360.197
300059.SZ,20200619,16.86,18.58,16.85,18.15,16.95,1.2,7.0796,5033269.88,8915026.864
300059.SZ,20200618,16.42,17.17,16.36,16.95,16.42,0.53,3.2278,3413247.69,5742169.925
300059.SZ,20200617,16.49,16.55,16.17,16.42,16.5,-0.08,-0.4848,2165594.94,3542020.967
300059.SZ,20200616,16.48,16.75,16.26,16.5,16.23,0.27,1.6636,2958862.74,4879896.544
300059.SZ,20200615,16.28,16.96,16.12,16.23,16.13,0.1,0.62,4696224.97,7742734.53
300059.SZ,20200612,15.45,16.28,15.35,16.13,15.81,0.32,2.024,3955942.68,6315334.944
300059.SZ,20200611,15.71,16.44,15.67,15.81,15.81,0,0,3784164.6,6048587.049
300059.SZ,20200610,15.67,15.85,15.56,15.81,15.72,0.09,0.5725,2002835.75,3147993.616
300059.SZ,20200609,15.2,16.12,15.19,15.72,15.16,0.56,3.6939,3995624.23,6282682.193
300059.SZ,20200608,15.36,15.44,15.13,15.16,15.37,-0.21,-1.3663,1604705.48,2452199.137
300059.SZ,20200605,15.3,15.4,15.01,15.37,15.25,0.12,0.7869,2128775.93,3238126.777
300059.SZ,20200604,15.39,15.48,15.2,15.25,15.25,0,0,1545104.15,2364748.069
